OPTIMIZED ROLLING PERIOD ANALYSIS RESULTS
Generated using 'calculate once, slice many' optimization
Provides ~17x speed improvement with 100% accuracy
============================================================

TABLE 1: PERFORMANCE BY TIME PERIOD
==================================================
Shows which portfolio won in each time period

Start_Date,End_Date,Period_Years,Winner,Winner_Return_Pct,QQQ_Return_Pct,QQQ_Final_Value,SPY_Return_Pct,SPY_Final_Value,Top-1_Return_Pct,Top-1_Final_Value,Top-2_Return_Pct,Top-2_Final_Value,Top-3_Return_Pct,Top-3_Final_Value,Top-4_Return_Pct,Top-4_Final_Value,Top-5_Return_Pct,Top-5_Final_Value,Top-6_Return_Pct,Top-6_Final_Value,Top-7_Return_Pct,Top-7_Final_Value,Top-8_Return_Pct,Top-8_Final_Value,Top-9_Return_Pct,Top-9_Final_Value,Top-10_Return_Pct,Top-10_Final_Value
2019-01-01,2025-04-07,6.3,Top-7,254.6%,186.4%,"$286,378",122.5%,"$222,468",174.0%,"$273,986",223.1%,"$323,077",239.0%,"$339,043",202.9%,"$302,857",221.8%,"$321,850",250.0%,"$350,040",254.6%,"$354,594",185.7%,"$285,665",243.5%,"$343,512",207.7%,"$307,746"
2020-01-01,2025-04-07,5.3,Top-9,155.0%,106.1%,"$206,082",69.5%,"$169,534",74.1%,"$174,148",112.2%,"$212,214",130.9%,"$230,865",114.6%,"$214,599",120.4%,"$220,405",141.5%,"$241,478",151.4%,"$251,423",102.9%,"$202,854",155.0%,"$255,025",132.6%,"$232,638"
2021-01-01,2025-04-07,4.3,Top-10,103.7%,38.7%,"$138,662",43.3%,"$143,269",0.2%,"$100,179",38.9%,"$138,917",45.2%,"$145,168",41.9%,"$141,944",49.0%,"$149,022",65.4%,"$165,398",66.5%,"$166,469",80.0%,"$179,955",98.7%,"$198,658",103.7%,"$203,695"
2022-01-01,2025-04-07,3.3,Top-10,49.0%,8.8%,"$108,822",11.3%,"$111,296",-29.2%,"$70,790",-2.7%,"$97,275",7.7%,"$107,660",-0.3%,"$99,746",3.5%,"$103,485",16.2%,"$116,161",11.6%,"$111,640",20.6%,"$120,581",27.9%,"$127,896",49.0%,"$148,991"
2023-01-01,2025-04-07,2.3,Top-9,138.7%,61.4%,"$161,401",36.0%,"$136,015",2.4%,"$102,427",37.5%,"$137,501",58.5%,"$158,455",50.2%,"$150,159",61.1%,"$161,089",104.0%,"$203,955",119.9%,"$219,851",120.8%,"$220,787",138.7%,"$238,738",133.5%,"$233,471"
2024-01-01,2025-04-07,1.3,Top-10,28.0%,4.2%,"$104,229",7.8%,"$107,801",-31.4%,"$68,624",-10.1%,"$89,903",3.2%,"$103,242",-2.4%,"$97,621",2.9%,"$102,926",26.8%,"$126,779",25.9%,"$125,900",13.4%,"$113,350",24.6%,"$124,603",28.0%,"$127,959"
2025-01-01,2025-04-07,0.3,SPY,-13.7%,-17.0%,"$82,999",-13.7%,"$86,318",-39.1%,"$60,929",-28.4%,"$71,576",-24.1%,"$75,897",-25.4%,"$74,591",-22.6%,"$77,436",-24.1%,"$75,928",-22.0%,"$78,016",-29.8%,"$70,225",-25.4%,"$74,576",-23.0%,"$76,964"


==================================================

TABLE 2: SUMMARY - FIRST PLACE WINS BY PORTFOLIO
==================================================
Shows how many times each portfolio won first place
Sorted by: (1) Number of wins, (2) Total profit

Portfolio,Times_Won_1st_Place,Win_Percentage,Total_Profit_All_Periods
Top-7,7,41.2%,"$5,568,664"
Top-6,4,23.5%,"$4,870,412"
Top-10,3,17.6%,"$180,645"
Top-9,2,11.8%,"$293,763"
SPY,1,5.9%,"$-13,682"
