OPTIMIZED ROLLING PERIOD ANALYSIS RESULTS
Generated using 'calculate once, slice many' optimization
Provides ~17x speed improvement with 100% accuracy
============================================================

TABLE 1: PERFORMANCE BY TIME PERIOD
==================================================
Shows which portfolio won in each time period

Start_Date,End_Date,Period_Years,Winner,Winner_Return_Pct,QQQ_Return_Pct,QQQ_Final_Value,SPY_Return_Pct,SPY_Final_Value,Top-1_Return_Pct,Top-1_Final_Value,Top-2_Return_Pct,Top-2_Final_Value,Top-3_Return_Pct,Top-3_Final_Value,Top-4_Return_Pct,Top-4_Final_Value,Top-5_Return_Pct,Top-5_Final_Value,Top-6_Return_Pct,Top-6_Final_Value,Top-7_Return_Pct,Top-7_Final_Value,Top-8_Return_Pct,Top-8_Final_Value,Top-9_Return_Pct,Top-9_Final_Value,Top-10_Return_Pct,Top-10_Final_Value
2015-01-01,2025-04-07,10.3,Top-7,896.6%,344.7%,"$444,735",193.0%,"$292,957",446.2%,"$546,170",557.4%,"$657,444",554.2%,"$654,162",548.2%,"$648,242",747.6%,"$847,558",766.4%,"$866,406",896.6%,"$996,613",610.4%,"$710,398",529.1%,"$629,135",514.8%,"$614,793"
2016-01-01,2025-04-07,9.3,Top-7,635.2%,306.4%,"$406,386",189.4%,"$289,383",457.4%,"$557,415",431.8%,"$531,785",406.8%,"$506,770",446.4%,"$546,417",527.4%,"$627,398",566.9%,"$666,911",635.2%,"$735,200",453.9%,"$553,934",430.4%,"$530,421",407.6%,"$507,604"
2017-01-01,2025-04-07,8.3,Top-7,548.3%,279.4%,"$379,424",158.4%,"$258,383",476.6%,"$576,573",379.6%,"$479,628",370.2%,"$470,218",393.5%,"$493,526",466.5%,"$566,547",493.4%,"$593,361",548.3%,"$648,313",400.5%,"$500,528",375.4%,"$475,403",352.7%,"$452,719"
2018-01-01,2025-04-07,7.3,Top-7,352.9%,186.0%,"$286,011",112.3%,"$212,306",282.6%,"$382,623",237.0%,"$336,975",239.9%,"$339,939",248.6%,"$348,616",289.9%,"$389,865",308.5%,"$408,518",352.9%,"$452,857",257.3%,"$357,293",249.6%,"$349,552",230.4%,"$330,381"
2019-01-01,2025-04-07,6.3,Top-7,335.3%,186.4%,"$286,378",122.5%,"$222,468",297.1%,"$397,120",262.1%,"$362,131",288.3%,"$388,274",285.8%,"$385,786",260.8%,"$360,780",292.6%,"$392,555",335.3%,"$435,300",233.2%,"$333,169",255.2%,"$355,216",208.8%,"$308,755"
2020-01-01,2025-04-07,5.3,Top-7,209.1%,106.1%,"$206,082",69.5%,"$169,534",135.3%,"$235,308",119.4%,"$219,421",136.0%,"$235,966",143.3%,"$243,280",147.7%,"$247,675",172.3%,"$272,252",209.1%,"$309,074",129.4%,"$229,408",155.0%,"$255,018",138.7%,"$238,673"
2021-01-01,2025-04-07,4.3,Top-8,107.2%,38.7%,"$138,662",43.3%,"$143,269",30.6%,"$130,552",41.8%,"$141,760",44.6%,"$144,601",57.8%,"$157,816",67.2%,"$167,179",87.3%,"$187,290",91.9%,"$191,894",107.2%,"$207,221",92.3%,"$192,329",79.4%,"$179,359"
2022-01-01,2025-04-07,3.3,Top-8,32.2%,8.8%,"$108,822",11.3%,"$111,296",-8.6%,"$91,362",-6.2%,"$93,824",1.0%,"$101,024",6.9%,"$106,944",16.5%,"$116,484",24.5%,"$124,503",28.3%,"$128,277",32.2%,"$132,165",23.7%,"$123,709",30.4%,"$130,369"
2023-01-01,2025-04-07,2.3,Top-8,165.5%,61.4%,"$161,401",36.0%,"$136,015",32.2%,"$132,192",32.6%,"$132,604",61.5%,"$161,532",61.0%,"$160,964",81.8%,"$181,785",130.2%,"$230,203",137.2%,"$237,202",165.5%,"$265,479",133.7%,"$233,656",105.4%,"$205,391"
2024-01-01,2025-04-07,1.3,Top-8,37.9%,4.2%,"$104,229",7.8%,"$107,801",-11.4%,"$88,566",-13.3%,"$86,688",5.1%,"$105,114",4.7%,"$104,657",16.1%,"$116,052",27.2%,"$127,205",25.8%,"$125,797",37.9%,"$137,926",24.5%,"$124,517",14.0%,"$113,994"
2025-01-01,2025-04-07,0.3,SPY,-13.7%,-17.0%,"$82,999",-13.7%,"$86,318",-37.0%,"$62,999",-29.6%,"$70,424",-24.2%,"$75,817",-25.6%,"$74,380",-17.8%,"$82,192",-24.1%,"$75,878",-21.9%,"$78,058",-19.7%,"$80,273",-25.5%,"$74,515",-32.4%,"$67,631"


==================================================

TABLE 2: SUMMARY - FIRST PLACE WINS BY PORTFOLIO
==================================================
Shows how many times each portfolio won first place
Sorted by: (1) Number of wins, (2) Total profit

Portfolio,Times_Won_1st_Place,Win_Percentage,Total_Profit_All_Periods
Top-7,15,71.4%,"$21,786,541"
Top-8,5,23.8%,"$3,619,028"
SPY,1,4.8%,"$-13,682"
