OPTIMIZED ROLLING PERIOD ANALYSIS RESULTS
Generated using 'calculate once, slice many' optimization
Provides ~17x speed improvement with 100% accuracy
============================================================

TABLE 1: PERFORMANCE BY TIME PERIOD
==================================================
Shows which portfolio won in each time period

Start_Date,End_Date,Period_Years,Winner,Winner_Return_Pct,QQQ_Return_Pct,QQQ_Final_Value,SPY_Return_Pct,SPY_Final_Value,Top-1_Return_Pct,Top-1_Final_Value,Top-2_Return_Pct,Top-2_Final_Value,Top-3_Return_Pct,Top-3_Final_Value,Top-4_Return_Pct,Top-4_Final_Value,Top-5_Return_Pct,Top-5_Final_Value,Top-6_Return_Pct,Top-6_Final_Value,Top-7_Return_Pct,Top-7_Final_Value,Top-8_Return_Pct,Top-8_Final_Value,Top-9_Return_Pct,Top-9_Final_Value,Top-10_Return_Pct,Top-10_Final_Value
2019-01-01,2025-04-07,6.3,Top-7,352.6%,186.4%,"$286,378",122.5%,"$222,468",138.7%,"$238,728",195.1%,"$295,059",270.4%,"$370,356",239.3%,"$339,345",239.0%,"$338,960",266.3%,"$366,333",352.6%,"$452,562",176.9%,"$276,857",224.3%,"$324,302",170.2%,"$270,203"
2020-01-01,2025-04-07,5.3,Top-7,221.2%,106.1%,"$206,082",69.5%,"$169,534",57.3%,"$157,301",75.6%,"$175,567",144.0%,"$243,969",130.2%,"$230,173",132.4%,"$232,383",154.1%,"$254,066",221.2%,"$321,248",91.4%,"$191,360",127.1%,"$227,143",88.6%,"$188,650"
2021-01-01,2025-04-07,4.3,Top-9,101.8%,38.7%,"$138,662",43.3%,"$143,269",-7.9%,"$92,150",24.3%,"$124,254",52.8%,"$152,803",54.8%,"$154,780",56.8%,"$156,823",74.8%,"$174,780",95.7%,"$195,661",91.7%,"$191,748",101.8%,"$201,797",60.8%,"$160,752"
2022-01-01,2025-04-07,3.3,Top-7,31.0%,8.8%,"$108,822",11.3%,"$111,296",-35.4%,"$64,552",-14.0%,"$85,950",4.9%,"$104,921",5.9%,"$105,930",9.2%,"$109,197",26.2%,"$126,183",31.0%,"$131,000",25.0%,"$124,975",29.9%,"$129,916",17.5%,"$117,521"
2023-01-01,2025-04-07,2.3,Top-9,142.5%,61.4%,"$161,401",36.0%,"$136,015",-6.6%,"$93,401",21.5%,"$121,468",61.6%,"$161,601",59.4%,"$159,438",70.3%,"$170,269",123.8%,"$223,753",135.3%,"$235,278",135.8%,"$235,827",142.5%,"$242,510",126.5%,"$226,535"
2024-01-01,2025-04-07,1.3,Top-6,27.2%,4.2%,"$104,229",7.8%,"$107,801",-37.4%,"$62,577",-20.6%,"$79,404",5.0%,"$104,973",3.7%,"$103,665",8.7%,"$108,740",27.2%,"$127,205",26.3%,"$126,337",17.3%,"$117,324",24.5%,"$124,517",27.1%,"$127,074"
2025-01-01,2025-04-07,0.3,SPY,-13.7%,-17.0%,"$82,999",-13.7%,"$86,318",-42.3%,"$57,749",-29.5%,"$70,468",-24.1%,"$75,905",-26.3%,"$73,737",-23.3%,"$76,716",-24.1%,"$75,878",-22.0%,"$77,990",-28.6%,"$71,371",-25.5%,"$74,515",-24.5%,"$75,528"


==================================================

TABLE 2: SUMMARY - FIRST PLACE WINS BY PORTFOLIO
==================================================
Shows how many times each portfolio won first place
Sorted by: (1) Number of wins, (2) Total profit

Portfolio,Times_Won_1st_Place,Win_Percentage,Total_Profit_All_Periods
Top-7,13,76.5%,"$13,177,446"
Top-9,2,11.8%,"$244,307"
Top-6,1,5.9%,"$27,205"
SPY,1,5.9%,"$-13,682"
