OPTIMIZED ROLLING PERIOD ANALYSIS RESULTS
Generated using 'calculate once, slice many' optimization
Provides ~17x speed improvement with 100% accuracy
============================================================

TABLE 1: PERFORMANCE BY TIME PERIOD
==================================================
Shows which portfolio won in each time period

Start_Date,End_Date,Period_Years,Winner,Winner_Return_Pct,QQQ_Return_Pct,QQQ_Final_Value,SPY_Return_Pct,SPY_Final_Value,Top-1_Return_Pct,Top-1_Final_Value,Top-2_Return_Pct,Top-2_Final_Value,Top-3_Return_Pct,Top-3_Final_Value,Top-4_Return_Pct,Top-4_Final_Value,Top-5_Return_Pct,Top-5_Final_Value,Top-6_Return_Pct,Top-6_Final_Value,Top-7_Return_Pct,Top-7_Final_Value,Top-8_Return_Pct,Top-8_Final_Value,Top-9_Return_Pct,Top-9_Final_Value,Top-10_Return_Pct,Top-10_Final_Value
2024-01-01,2025-04-07,1.3,Top-10,32.8%,4.2%,"$104,229",7.8%,"$107,801",-39.1%,"$60,877",-21.1%,"$78,928",2.1%,"$102,073",-3.3%,"$96,692",8.5%,"$108,479",26.8%,"$126,779",26.3%,"$126,337",18.8%,"$118,757",24.6%,"$124,603",32.8%,"$132,756"
2025-01-01,2025-04-07,0.3,SPY,-13.7%,-17.0%,"$82,999",-13.7%,"$86,318",-39.1%,"$60,929",-27.3%,"$72,746",-24.1%,"$75,862",-26.9%,"$73,100",-22.9%,"$77,084",-24.1%,"$75,928",-22.0%,"$77,990",-30.3%,"$69,718",-25.4%,"$74,576",-22.7%,"$77,322"


==================================================

TABLE 2: SUMMARY - FIRST PLACE WINS BY PORTFOLIO
==================================================
Shows how many times each portfolio won first place
Sorted by: (1) Number of wins, (2) Total profit

Portfolio,Times_Won_1st_Place,Win_Percentage,Total_Profit_All_Periods
Top-7,9,42.9%,"$6,540,249"
Top-6,7,33.3%,"$13,099,341"
Top-10,2,9.5%,"$70,600"
Top-9,2,9.5%,"$246,657"
SPY,1,4.8%,"$-13,682"
